marque,modèle,catégorie,couleur,prix,km,porte,GPS,avis
Peugeot,3008,SUV,Bleu métallisé,24790,20885,5,oui,"Voiture est super le seul bémol c'est le start and stop qui ne fonctionne pas toujours... ;pas fatigante a conduire, le seul petit défaut, le rayon de braquage un peu juste. ; Je roule avec ma voiture depuis moins de 1000 km elle très désagréable à conduire sur autoroute car la direction tremble. ;Je roule avec ma voiture actuellement en montagne et la conduite est très agréable "
Dacia,Duster ,SUV,Noir Nacre,19490,0,5,non,"Voiture que je conduis depuis 6 semaines et testée en ville et sur grandes distances.à ma grande satisfaction. J'attends que la consommation baisse pour dire que tout est OK ; Très agreable à conduire.Confortable,équipements fonctionnels et très bonne motorisation. ; Conduite souple et véhicule répondant exactement aux attentes du conducteur. Tenue de route impeccable tant par temps sec que par temps mouillé. Equipement au top. Véhicule apprécié par toute la famille. Seul bémol : réservoir de capacité insuffisante (65 l aurait été idéal) ; Depuis 2mois que je possède la voiture et rien à dire sur la mécanique mais par contre très déçu de la partie carrosserie car ça laisse plein de traces qui ne partent pas alors qu'elle a été lavée correctement "
Nissan,Qashqai ,SUV,Blanc Lunaire ,26850,0,5,oui,"Agréable à conduire , très silencieuse, confortable. Je ne regrette pas d'avoir pris la version essence malgré 25 ans de diesel. Consommation 6,5 L/100 et 3500€ moins cher que l'équivalent diésel. Le plein en E10 coute le même prix que le gasoil. ; véhicule très confortable et agréable a conduire ; Performante, bonne reprise tout en souplesse et assez nerveuse s'il le faut, confortable trés bons siéges, trés bon amortissement et trés belle finition dans une bonne qualité. 160CV en turbo essence, finition n-connecta toit transparent et électrique...que du Bonheur "
Opel ,Crossland  X,SUV,Gris Quartz,14290,0,5,oui,"Il n'y a pas d'avis clients pour le moment."
Renault ,Captur ,SUV,Orange Atacama,14290,12939,5,oui,"Cette voiture est très agréable à conduire, elle est souple et confortable. Je la recommande , moi je l'ai en automatique et j'adore. ;J aime beaucoup ma captur, elle est très agréable à conduire même si elle est un peu plus bruyante que la c3 Picasso que j avais précédemment. Elle tient bien la route et consomme peu. Je suis conquise!; Ça fait 2 mois que j’ai ma voiture, jusqu’à la j’ai pas eu de soucis, voiture agréable maniable et confortable. Seul bémol le réservoir est petit; Je roule depuis 3 moi elle est très agréable pour un usage urbain. Sa boite auto est agréable"
Peugeot,2008,SUV,Noir Perla Nera,14990,13309,5,oui,"Je roule avec ma voiture depuis plus d'un an et mon premier constat et qu'elle est très agréable à la conduite elle est spacieuse on a une très bonne ; je roule depuis 1 mois facile a conduire .manque de souplesse ,niveau suspension. position assise avec le plus que nous offre le tableau de bord avec un affichage en position tête haute qui est très pratique l'habitacle est bien insonorisé il n'y a pas de souci pour bien placer les passagers les longs déplacements ne sont pas fatiguant une très bonne voiture ; Depuis 1 mois, nous avons fait 1500 km de trajets urbains et autoroutiers. Elle est très agréable à conduire et les commandes sont assez intuitives. Nous apprécions le look réussi et son silence. Parmi les défauts relevés, il y a l'assistance au créneau qui demande de l'apprentissage et le fait de devoir lever les pieds assez haut pour rentrer dans la voiture. Cela est dû certainement au profil SUV du modèle. "
AUDI,Q2,SUV,Argent Fleuret Métallisé,25990,6547,5,non,"J'ai ce véhicule depuis quelques mois, j'en suis pleinement satisfait ! La boite auto est juste parfaite et le design est réussi, ça me change du Captur... Coffre un peu petit si je devais trouver un défaut. ;  Confort à l'avant, insonorisation, consommation raisonnable, beaucoup d'aides à la conduite.Je suis satisfait. ; J'ai ma voiture depuis 1 mois et elle est agréable à conduire, mais consomme assez dans des trajets court du quotidien ; Je roule avec ce véhicule depuis 2 mois et je la trouve très basique "
Peugeot,208,citadine,Dark Blue,11190,25840,5,non,"Tres agréable à conduire mais dommage que les tapis ne soit pas fourni ;  Une version 90 ch aurait été bienvenue mais la notion de citadine est bien remplie ; Je roule avec depuis environ 1 mois et très bonne voiture, agréable à conduire. Seul bémol, consommation un petit peu excessive pour le modèle essence. ’ai cette voiture depuis 2 mois et je me cogne encore la tête en rentrant dedans . Accès trop bas . Si je l’avais essayé avant je n’aurais pas pris ce modèle . Je prévois d’en changer dans peu de temps car je pensais m’y habituer mais rien ...... "
FLAT,500,citadine,Electroclash Grey,11890,0,3,non,"Petite voiture sympatique, l'option écran tactile avec car-play très agréable, par contre le modèle choisi avec boîte robotisée est décevant, la réponse à l'accélération est super molle, le passage des vitesses se ressent très nettement avec impression de freinage à chaque passage, pas de position parking ce qui implique que la voiture est libre d'avancer ou reculer alors que vous êtes en position R ou D (intolérable lorsque vous êtes habitué à une vrai boîte auto). Le start & stop rajoute à la pénibilité de la boîte. Ceci fait que nous ne garderons pas ce véhicule très longtemps et que nous le déconseillons pour les personnes handicapées. ; Je roule avec ma Fiat 500 depuis 1 mois et j'en suis satisfaite. Elle est parfaite pour les trajets courts et la circulation en ville. Elle se faufile partout et est facile à garer .. ; Modèle équipe d’une boîte auto : voiture agréable à conduire, options nombreuses mais pas forcément très utiles et/ou pratiques et point négatif une puissance insuffisante en cas de montée d’une pente aigue "
HYUNDAI,i10,citadine,Tomato Red,8950,0,5,non,"Il n'y a pas d'avis clients pour le moment."
TOYOTA,Yaris 3,citadine,Gris Aluminium metallise,14450,0,5,oui,"Il n'y a pas d'avis clients pour le moment."
Citroën ,C3,citadine,Orange Power,11990,41954,5,oui,silencieuse agréable à conduire spacieuse pour une auto de cette gamme et son coté personnalisable la rend très jeune et sympathique : mes petits enfants adorent 
Renault ,Clio 4,citadine,Noir Etoile,12490,25000,5,oui,"1.5 ans que je l'ai achetée; aucun pb mécanique (ouf! en si peu de temps...) confortable, puissante dans les accélérations arrière un peu juste pour 3 personnes, et également pour la longueur des jambes + d'angles morts sur les nouveaux modèles que les anciennes clio, mais similaires aux modèles actuels parfaite par ailleurs. ; je regrette surtout le manque de visibilité à l'arrière (génant pour les manoeuvres de parking) ; J'ai ma voiture depuis 4 mois elle est agréable a conduire, manque juste un peu de hauteur dans l'habitacle "
Renault ,Mégane 4,Berline Compacte,Gris Platine,14990,0,5,non,"La boîte automatique est très agréable dans les embouteillages; boîte robotisée pas au point ; Je roule depuis le 28/03 avec ma megane. Très confortable. Agréable à conduire. Spacieuse. Un vrai bonheur. Aucun regret de mon choix ; voiture comportant de nombreux équipements d'aide à la conduite ( allumage automatique des feux et essuies glace, limiteur et régulateur de vitesse avec lecture des panneaux, passage automatique feux de route/code, ...) contribuant à une conduite agréable. De plus le moteur est particulièrement silencieux (lors des arrêts il est difficile de savoir si le moteur est à l'arrêt si ce n'est le compte tour et la signalisation). Par contre consommation plus importante (7 l en mode économique) que ma précédente Mégane diesel (5 l avec conduite identique). Ne pas sortir du véhicule avec arrêt du moteur sur fonction Stop And Go car la batterie serait déchargée en 2 à 3 heures "
Citroën ,C4,Berline Compacte,Noctambule,14490,45537,5,oui,"Voiture agréable à conduire mais je trouve qu’il y a beaucoup de petites choses qui ne fonctionne pas Et une fois avoir vendu leur voiture il est impossible d’avoir un interlocuteur pour ces petites pannes ; J'utilise cette voiture régulièrement depuis mon achat il y a 3 mois. J'en suis satisfait tant sur le point confort et espace que conduite. J'aime bien la boîte automatique robotisée qui est assez souple sans malgré tout avoir les qualités d'une boîte automatique classique. ; Bon véhicule dans sa catégorie , manque quelques options de navigation. ; Cela fait 1mois que je roule avec ma nouvelle voiture et j'en suis très satisfait "
Volkswagen ,Golf 7 ,Berline Compacte,Blanc Pur,23990,18876,5,oui,"Il n'y a pas d'avis clients pour le moment."
Peugeot ,308,Berline Compacte,Bleu Magnetic,18790,0,5,oui,"Tres content de mon choix. Boite auto efficace. Touches sport et éco. Très bon confort et spacieuse. 2000 premiers km très concluants. ; Je roule avec ma Peugeot 308 depuis maintenant 9 mois et je suis satisfait dans l'ensemble. La voiture est confortable et plaisante à conduire. Seuls des bugs de fonctionnement de l'électroniques embarqués persistent chez Peugeot. ; voiture très économique, facile à conduire autant en ville que sur route ; Très bonne voiture, qui correspond à mes attentes et ce conduit très bien !! "
Fiat ,TIPO Station Wagon,Berline Compacte,Gris Maestro,13590,0,5,oui,"Il n'y a pas d'avis clients pour le moment."
Dacia,Sandero ,Berline Compacte,Bleu Navy,8990,4513,5,non,"Je roule avec ma nouvelle voiture depuis un mois 1/2 et suis très satisfaite. ; Mon épouse roule avec cette voiture depuis un mois , elle a très bien remplacé sa vieille Clio de 15 ans sans problème d'adaptation. ; je roule avec ma sandero depuis deux mois, je suis très satisfaite de sa conduite, souple, bonne visibilité, on peut lever le siège, on a l'impression d'être dans une voiture haute, se gare très facilement. J'aurai préféré attendre encore un peu avant de donner mon avis après seulement un mois de conduite donc peu d'autoroute...J'apprécie cette voiture mais je trouve le démarrage un peu lent. "
Renault ,Scénic 4 ,Monospace,Noir Etoilé,19590,0,5,oui,"Il n'y a pas d'avis clients pour le moment."
Mercedes ,Classe B ,Monospace,Blanc,17990,54235,5,oui,"je roule depuis 16 mois avec cette voiturequi est très agreable à conduire , petit bemol elle n'a pas de camera de recul , c'est dommage ; Je roule depuis 14 mois dans ce véhicule et j'ai parcouru 40 000 km. Les points positifs sont pour moi 1 le bon rapport encombrement habitabilité 2 le bon volume du coffre 3 la consommation moyenne 4 le bon niveau sonore Les points négatifs 1 le confort des assises moyennes 2 la position de conduite difficile à trouver 3 la qualité moyenne des finitions pour une Mercedes 4 la puissance un peu juste en charge et en montagne ; Après un bon équilibrage des roues, qui n'avait pas été réalisé par Aramis, cette voiture avec laquelle je roule depuis plus d'un an s'avère être un très bon véhicule familial. Son confort, ses qualités routières et sa consommation de carburant moyenne sont ses principaux atouts. "
Citroën ,C3 Aircross ,Monospace,Blanc Banquise,14490,7310,5,non,"Il n'y a pas d'avis clients pour le moment."
Renault ,Espace Nouveau ,Monospace,Noir Améthyste,28490,15184,5,oui,"Très bonne routière, très confortable. ; Confortable, très agréable à l'usage, je suis content de mon achat. ; Parfait compromis entre taille - confort - et performances Je suis très satisfait ; Je roule avec mon nouveau Renault Espace depuis 4 mois. Je l'ai notamment utilisé pour visiter l'Italie avec de nombreux km à la clé. J'ai ainsi pu me rendre compte de son haut niveau de confort en conduite, ainsi que de sa relative faible consommation par rapport au Ford Smax dont je disposais avant. À noter également la Qualite de son du système Bose Équipe de série sur le modèle Initiale Paris. "
Citroën ,C4 Picasso ,Monospace,Gris Aluminium,7490,136990,5,oui,"Voiture homogène, confortable (point important), compacte et spacieuse. Aussi agréable en ville (boîte auto) que sur route. Fiable. Rien à redire. Je possède un modèle moteur essence (165 CV) "
Peugeot ,5008,Monospace,Blanc,26990,27466,5,non,"Il n'y a pas d'avis clients pour le moment."
KIA ,Carens ,Monospace,Gris,13990,52900,5,oui,"Il n'y a pas d'avis clients pour le moment."
Peugeot ,308 SW ,Break,Blanc Nacré,18990,0,5,oui,"véhicule agréable à conduire . Sur autoroute à 130 km/h le régime moteur est inférieur à 2000 trs/mn environ 1900/1950 trs/mn . la 6 ème est très longue il est donc préférable d'utiliser la 5 ème à 90 km/h surtout en côte même légère ; Je l'ai depuis un peu plus d'un an, et c'est une très bonne voiture : puissance, facilité de conduite, habitacle au design épuré... Bon choix ; Très contente de mon achat (12/16). Je recherchais un grand coffre et c'est la cas Habituée à la marque, je ne regrette pas mon achat Seul regret : ne pas avoir acheté une automatique ; bientôt 1an et je ne regrette pas mon choix. ;  Deja fait plus de 50 000km avec depuis mon achat, je suis très satisfait de la voiture "
Peugeot ,308 SW ,Break,Gris Platinium,19990,0,5,oui,"véhicule agréable à conduire . Sur autoroute à 130 km/h le régime moteur est inférieur à 2000 trs/mn environ 1900/1950 trs/mn . la 6 ème est très longue il est donc préférable d'utiliser la 5 ème à 90 km/h surtout en côte même légère ; Je l'ai depuis un peu plus d'un an, et c'est une très bonne voiture : puissance, facilité de conduite, habitacle au design épuré... Bon choix ; Très contente de mon achat (12/16). Je recherchais un grand coffre et c'est la cas Habituée à la marque, je ne regrette pas mon achat Seul regret : ne pas avoir acheté une automatique ; bientôt 1an et je ne regrette pas mon choix. ;  Deja fait plus de 50 000km avec depuis mon achat, je suis très satisfait de la voiture "
Peugeot ,309 SW ,Break,Noir Perla Nera,19890,20234,5,oui,"véhicule agréable à conduire . Sur autoroute à 130 km/h le régime moteur est inférieur à 2000 trs/mn environ 1900/1950 trs/mn . la 6 ème est très longue il est donc préférable d'utiliser la 5 ème à 90 km/h surtout en côte même légère ; Je l'ai depuis un peu plus d'un an, et c'est une très bonne voiture : puissance, facilité de conduite, habitacle au design épuré... Bon choix ; Très contente de mon achat (12/16). Je recherchais un grand coffre et c'est la cas Habituée à la marque, je ne regrette pas mon achat Seul regret : ne pas avoir acheté une automatique ; bientôt 1an et je ne regrette pas mon choix. ;  Deja fait plus de 50 000km avec depuis mon achat, je suis très satisfait de la voiture "
Renault ,Mégane 4 Estate,Break,Gris Platine,14990,0,5,non,"Voiture agréable , niveaux confort et conduite il n'y a rien à dire . Renault a bien travailler ; Voiture très agréable, silencieuse, confortable, moteur relativement performant. Finition très bien équipée. Espace intérieur correct, finition honnête. En négatif, la consolation en ville et un léger creux à bas régime. ; Bon véhicule,mais avec quelques défauts comme le kit de réparation,manque de place au niveaux portières vus que je suis équipée d'un boose,sinon une fois tout les sièges baissé un bon espace est niveaux port usb un peu défaillant ; J'avais une megane estate type ll, avant celle ci, le coffre a perdu beaucoup en volume de chargement. Les rangements intérieur sont beaucoup plus pauvres. Le bruit et le confort sont par contre bien amélioré (mais essence contre diesel précédemment ). La consommation n'est pas des plus sobre environ 7 litres (et en mode éco). J'ai environ 7000 km on dirai que cela commence a baisser un peu. Beaucoup de gadgets, mais amusants, éclairage intérieur... "
Audi ,A4 Allroad ,Break,Noir,18990,104291,5,non,"Il n'y a pas d'avis clients pour le moment."
Mercedes ,CLA Shooting Brake,Break,Blanc Polaire,26490,20427,5,oui,"Il n'y a pas d'avis clients pour le moment."
Audi ,A5 Sportback,Routière,Noir Mythe Métallisé,32990,9281,5,oui,"Je roule maintenant depuis bientôt 1 an avec mon A5 sportback et vraiment aucun regret ; Je suis agréablement surpris par la facilité d'usage de cette voiture et de sa qualité de fabrication. Magnifique design extérieur , intérieur un peu triste mais avec de beaux matériaux , bien assemblés. Consommation très basse pour son poids et sa puissance (190cv ). Un peu trop basse dans la finition S LINE . ( je touche souvent ) Et confort un peu trop raide malgré sa suspension pilotée. Silence du moteur remarquable. ; Audi A5 achetée en octobre 2016, bonne conduite trés maniable , silencieuse. Voiture spacieuse et confortable ,grand coffre en rabattant les fauteuils. ; Voiture agréable à conduire boite de vitesse auto excellente. Suffisamment de puissance pour les dépassements et accélérations. L'insonorisation aurait pu être un peu meilleure ! Confortable pour ce type de voiture (voiture basse mais c'est son caractère sport). Hayon pratique, accès au coffre idéal. Les finitions sont de très bonnes qualités. S'il n'a pas de problèmes mécaniques à venir, aucuns regrets quand cet l'achat. "
Mercedes ,Classe C,Routière,Noir Obsidienne - Peinture Métallisée,22990,42701,4,oui,"Voiture fiable , conduite très intuitive et agréable Je recommande ; conduite tres souple et idéale surtout sur long parcours "
Mercedes ,Classe C,Routière,Gris,27990,3873,4,oui,"Voiture fiable , conduite très intuitive et agréable Je recommande ; conduite tres souple et idéale surtout sur long parcours "
BMW ,Série 3,Routière,Portimao Blau Metallic,38990,9059,4,oui,"5 mois d'utilisation. La boite automatique 8 vitesse permet différentes manières de conduire,sport,confort,économique. La consommation de GO est pratiquement conforme aux indications du constructeur. C'est ma 3 ème BMW et je ne regrette pas mon achat. ; Nerveuse et très confortable, vaisseau hyper agréable à conduire tant en ville que sur autoroute. ; Je suis très satisfait de mon achat ; Ancien propriétaire du bmw 320i pack luxe Je trouve le moteur diesel un peu bruyant . Très satisfait dans l'ensemble. Néanmoins je la déconseille aux personnes fragiles du dos. Dossier très ferme et manque de réglage lombaire sont des points négatifs sur ce plan. "
Jaguar ,XE ,Routière,Noir,24990,58881,4,oui,"Il n'y a pas d'avis clients pour le moment."
Audi ,A5 Sportback,Routière,Noir Mythe Métallisé,33490,7315,5,oui,"Je roule maintenant depuis bientôt 1 an avec mon A5 sportback et vraiment aucun regret ; Je suis agréablement surpris par la facilité d'usage de cette voiture et de sa qualité de fabrication. Magnifique design extérieur , intérieur un peu triste mais avec de beaux matériaux , bien assemblés. Consommation très basse pour son poids et sa puissance (190cv ). Un peu trop basse dans la finition S LINE . ( je touche souvent ) Et confort un peu trop raide malgré sa suspension pilotée. Silence du moteur remarquable. ; Audi A5 achetée en octobre 2016, bonne conduite trés maniable , silencieuse. Voiture spacieuse et confortable ,grand coffre en rabattant les fauteuils. ; Voiture agréable à conduire boite de vitesse auto excellente. Suffisamment de puissance pour les dépassements et accélérations. L'insonorisation aurait pu être un peu meilleure ! Confortable pour ce type de voiture (voiture basse mais c'est son caractère sport). Hayon pratique, accès au coffre idéal. Les finitions sont de très bonnes qualités. S'il n'a pas de problèmes mécaniques à venir, aucuns regrets quand cet l'achat. "
Volkswagen ,Arteon ,Routière,Argent Pyrite métallisé,29990,40988,5,oui,"Il n'y a pas d'avis clients pour le moment."
Citroën ,Berlingo ,Ludospace,Gris Shark,11990,106362,5,non,"Après 2400 km, les qualités pour lesquelles j'ai acheté cette voiture sont bien réelles ! ; Véhicule pratique au quotidien avec 3 enfants dont deux en sièges BB. Les portes coulissantes permettent un accès rapide et confort. Mon dos s’en porte mieux ! Agréable à conduire et suffisamment motorisé, je suis très surpris par la souplesse du moteur essence alors que je suis un Dieseliste depuis 20 ans. Hauteur de conduite aussi élevée qu’un SUV mais avec un coffre d’utilitaire. ; Voiture aux équipements nombreux, spacieuse et agréable à conduire ; c'est un vehicule a fort volume de chargement "
Dacia ,Dokker ,Ludospace,Noir,12990,42676,5,oui,"J'ai retrouvé une conduite agréable sécurisée. Voiture spacieuse, pratique pour les créneaux et son beau bleu me permet de la voir de loin sur un parking! ; Voiture spacieuse, conduite agréable, prise au vent importante... ; Nous l'avons depuis un mois environ et elle correspond tout à fait à nos attentes : grand coffre, consommation d'essence faible, spacieuse, agréable à conduire. ; trés agréable à conduire et tres utile pour mes besoins "
Peugeot ,RIFTER ,Ludospace,Gris Artense,19890,0,5,non,"Il n'y a pas d'avis clients pour le moment."
Citroën ,Berlingo ,Ludospace,Gris Acier,19290,0,5,oui,"Il n'y a pas d'avis clients pour le moment."
Peugeot ,RIFTER ,Ludospace,Gris Artense,19390,0,5,non,"Il n'y a pas d'avis clients pour le moment."
Peugeot ,RIFTER ,Ludospace,Deep Blue,18990,0,5,non,"Il n'y a pas d'avis clients pour le moment."
Renault ,Kangoo ,Ludospace,Bleu Islande,11290,91513,5,oui,"Coffre pratique, rangements intéressants. ; Intéressante pour le chargement arrière, sièges facilement inclinable, voiture agréable à conduire ;  Tout est fonctionnel à part la commande des vitres électrique mal situé sur les portes, véhicule agréable à conduire. "
Fiat ,500,Cabriolet,Electroclash Grey,14490,0,2,oui,"Petite voiture sympatique, l'option écran tactile avec car-play très agréable, par contre le modèle choisi avec boîte robotisée est décevant, la réponse à l'accélération est super molle, le passage des vitesses se ressent très nettement avec impression de freinage à chaque passage, pas de position parking ce qui implique que la voiture est libre d'avancer ou reculer alors que vous êtes en position R ou D (intolérable lorsque vous êtes habitué à une vrai boîte auto). Le start & stop rajoute à la pénibilité de la boîte. Ceci fait que nous ne garderons pas ce véhicule très longtemps et que nous le déconseillons pour les personnes handicapées. ; Elle est très agréable à conduire.  ; Je roule avec ma Fiat 500 depuis 1 mois et j'en suis satisfaite. Elle est parfaite pour les trajets courts et la circulation en ville. Elle se faufile partout et est facile à garer .. ; Je roule avec ma fiat 500 depuis 1 mois et satisfaite de mon achat "
Fiat ,500,Cabriolet,Electroclash Grey,13490,0,2,non,"Petite voiture sympatique, l'option écran tactile avec car-play très agréable, par contre le modèle choisi avec boîte robotisée est décevant, la réponse à l'accélération est super molle, le passage des vitesses se ressent très nettement avec impression de freinage à chaque passage, pas de position parking ce qui implique que la voiture est libre d'avancer ou reculer alors que vous êtes en position R ou D (intolérable lorsque vous êtes habitué à une vrai boîte auto). Le start & stop rajoute à la pénibilité de la boîte. Ceci fait que nous ne garderons pas ce véhicule très longtemps et que nous le déconseillons pour les personnes handicapées. ; Elle est très agréable à conduire.  ; Je roule avec ma Fiat 500 depuis 1 mois et j'en suis satisfaite. Elle est parfaite pour les trajets courts et la circulation en ville. Elle se faufile partout et est facile à garer .. ; Je roule avec ma fiat 500 depuis 1 mois et satisfaite de mon achat "
DS ,DS3 Cabriolet ,Cabriolet,Noir,11990,59018,2,oui,"Très confortable, coffre correct mais ouverture petite a cause de l'ouverture. "
BMW ,Série 4 Cabriolet,Cabriolet,Noir,30990,82120,2,oui,"Il n'y a pas d'avis clients pour le moment."
Audi ,A5 Cabriolet,Cabriolet,Gris Manhattan Métallisé,39890,8761,2,oui,"Il n'y a pas d'avis clients pour le moment."
Mini ,Mini Cabriolet ,Cabriolet,Blanc,12990,19027,2,non,"Je suis très contente de cette mini, c' est la première fois que je me sens bien, c' est comme un cocon, tendance aller un peu trop vite. "
Volkswagen ,Polo ,Sport,Rouge,11990,92776,5,non,"Voiture agréable à conduire. Manque de puissance dans les côtes. ; Je suis ravie, elle est agréable a conduire. ; Elle est rigide pas souple du tout ! ; Je roule avec ma voiture depuis 3 mois et j'en suis ravie. Je trouve qu'elle ne consomme pas énormément et qu'on est bien installé à l'avant. Le seul hic est la taille du coffre avec la planche cela réduit le volume du coffre mais il est possible de la retirer quand besoin est. Sinon niveau esthétique j'adore ! "
Volkswagen ,Golf 7 ,Sport,Noir Intense Nacré,29990,18128,5,oui,"Il n'y a pas d'avis clients pour le moment."
Volkswagen ,Golf 8,Sport,Blanc,20490,63677,5,oui,"Il n'y a pas d'avis clients pour le moment."
Mercedes ,Classe E ,Sport,Gris,21990,91402,2,oui,"je roule avec cette voiture depuis bientôt 2 ans, lors de mon achat je me suis renseigné chez Mercedes, la voiture était enregistrée et entretenue par eux, 0 défaut lors de mon dernier contrôle technique ; Ma 1ère voiture à boite automatique: super, je n'en changerai pour rien au monde ; "
BMW ,Série 4 Coupé ,Sport,Gris,23490,72000,2,oui,"Il n'y a pas d'avis clients pour le moment."
Peugeot ,308 CC ,Sport,Noir Etoile,9990,51401,2,non,"le modele est joli mais consomme beaucoup quand j'accelère il y a toujours des a coups depuis le premier jour ; Aucun défauts si ce n'est l'alarme ""terminez la manoeuvre de toit immédiatement"" alors que le toit est fermé. ; "
Volkswagen ,Scirocco ,Sport,Rouge,12490,77815,3,oui,"Mon véhicule est très confortable, bon rapport qualité prix. ; Une très belle voiture qui depuis 1 mois me va très bien. ; Lors d'un récent passage au garage je me suis rendu compte que la scirocco vendu pour un 2l tsi 210 ch est en réalité un 200ch ; J'adore conduire ma voiture aucun soucis de mécanique ; Je roule avec ma voiture depuis 1 an et demi et je ne compte plus les aller retour au garage. Néanmoins elle répond pour le reste à mes attentes. "
Peugeot ,RCZ ,Sport,Blanc Nacré,12290,112822,2,oui,"Je roule avec ma voiture depuis 1 mois et je ne regrette pas du tout ! Elle a un look terrible (on se retourne quand elle passe) et fonctionne très bien. Encore merci à toute l’équipe AramisAuto de Carquefou ! Les conseillers sont super agréables , disponibles et souriant. Bonne route ; Achèté depuis 1 mois et demi, je suis entièrement satisfait de mon achat. ; Ca fait 3 semaines et toujours impatient de reprendre le volant ,véhicule très agréable sur un plan général (conduite -assise très confortable malgré une sportive - consommation raisonnable pour un véhicule de 200 Cv),très satisfait de mon achat ; Voiture agréable à conduire et très sportives ; Un an avec ma RCZ THP200 et toujours (de plus en plus?) satisfait. Tenue de route, moteur puissant et d'une souplesse incroyable, freinage sécurisant, consommation très raisonnable pour 200cv, vignette pollution -1-, aucun probleme "
